Country ;happiness;freedom;age_exp;corruption;alcohol;precipitation;unemployment;coffee;pop_density;health_spend;gdp;facebook;pop;bmi_women;bmi_men;gdp1000;facebook_share
India;3,78;3;70,8;40;5,61;1083;5,98;0;464;2,95;1996,92;416600000;1380004385;21,3;25,1;2;0,301883
Indonesia;5,24;3;71,4;37;0,22;2702;4,41;0,17;151;2,87;3893,86;176500000;273523621;23;27,1;3,89;0,645282
Iran;4,89;6;77,8;30;1,01;228;11,46;0,17;51,6;8,46;3598,48;40000000;83992953;27,2;27,2;3,6;0,47623
Iraq;4,94;5,5;73,3;18;0,37;216;14,19;0,21;92,6;4,24;5915,85;25520000;40222503;28,4;21;5,92;0,634471
Ireland;7,04;1;82;74;12,75;1118;6,63;1,92;71,7;6,86;79107,61;3210000;4985674;26,6;21,9;79,11;0,643845
Israel;7,36;2,5;83;62;4,38;435;5,05;4,51;400;7,53;42063,45;6200000;9215100;27,3;25,3;42,06;0,672809
Italy;6,47;1;83,1;50;8,01;832;9,83;5,45;206;8,68;34622,17;34940000;59449527;24,8;26,7;34,62;0,587725
Jamaica;5,85;2;76,3;44;4,16;2051;9,18;2,28;273;5,97;5359,99;1100000;2961161;27,2;27,6;5,36;0,371476
Japan;6,04;1;84,8;73;10,09;1668;2,8;3,5;347;10,75;39808,17;55840000;125836021;21,9;27,1;39,81;0,443752
Jordan;4,15;5,5;78,2;48;0,52;111;19,25;3,01;115;7,78;4308,15;6386000;10203140;29,2;26,5;4,31;0,625886
Kazakhstan;6,23;6;71,9;31;5;250;4,9;0,39;6,96;2,82;9812,63;11825000;18754440;26,6;24;9,81;0,630517
Kenya;4,54;4;66,5;28;2,15;630;5,74;0,04;94,5;4,31;1794,09;10444000;53771300;23,1;23,5;1,79;0,19423
Kuwait*;6,11;5;81,5;39;0;121;3,71;2,03;240;5,1;33399,06;4227000;4270563;31,2;26,3;33,4;0,989799
Laos;5,14;6,5;69;29;12,08;1834;1,26;17,21;31,5;2,25;2569,09;3821000;7275556;22;29,2;2,57;0,525183
Latvia;6,18;1,5;75,9;58;13,19;667;7,6;3,25;30,3;6,19;17865,03;740000;1900449;25,6;29,2;17,87;0,389382
Lebanon;2,96;4,5;76,6;28;1,53;661;14,49;3,81;667;8,67;8058,44;4160000;6825442;27,7;24,8;8,06;0,609484
Lesotho*;3,51;3;51,8;42;5,08;788;24,6;0,65;70,6;10,9;1192,48;490900;2142252;26,8;21,1;1,19;0,229151
Liberia*;5,12;3,5;66,1;31;5,37;2391;4,09;0,04;52,5;9,04;710,27;658200;5057677;23,2;26,5;0,71;0,130139
Lithuania;6,45;1,5;76,2;59;12,78;656;7,9;4,28;43,4;6,53;19186,18;1400000;2794885;26;21,9;19,19;0,500915
Luxembourg*;7,4;1;82,9;82;12,45;934;5,23;24,79;242;5,29;117254,74;369100;630419;26,1;21,9;117,25;0,585484
Madagascar*;4,34;3,5;65,5;24;1,98;1513;2,59;2,15;47,6;4,2;523,95;2864000;27691019;20,7;26,9;0,52;0,103427
Malawi;3,75;3;64,7;31;4,08;1181;7,02;0,44;203;9,83;544,59;637600;19129955;22,9;27,4;0,54;0,03333
Malaysia;5,71;4;75;47;0,93;2875;4,61;0,02;98,5;3,75;11380,08;28490000;32365998;25,4;25,7;11,38;0,880245
Mali;4,48;5,5;61,8;31;1,31;282;7,72;0,04;16,6;3,73;894,8;2033300;20250834;23,1;22;0,89;0,100406
Malta;6,45;1,5;82,6;56;8,27;560;3,5;2,52;1380;8,81;30672,29;389500;515332;27,1;24,7;30,67;0,755823
Mauritania*;4,15;5;70,8;28;0;92;11,46;0,01;4,51;3,58;1670,2;927300;4649660;26,3;21,8;1,67;0,199434
Mauritius;6,07;1,5;75,5;50;4,78;2041;7,41;0,49;626;5,87;11208,34;919000;1265740;26,1;27,7;11,21;0,726057
Mexico;6,13;3,5;75,6;29;5,05;758;4,38;0,61;66,3;5,38;9686,98;78000000;128932753;28,7;29,4;9,69;0,604967
Moldova;5,86;3;74,3;31;12,85;450;3,96;0,57;123;6,59;4230,36;800000;2620495;27,1;25,2;4,23;0,305286
