Country ;Happiness;Alcohol;Median Age;Precipitation;Unemployment;Coffee;Pop density;Healthcare spending;GDP per capita;Facebook;Population;BMI-women;BMI-men;;
Israel;7,364;4,38;30,5;435;5,04500008;4,51;400;7,53235054;42063,4531;6200000;9215100;27,3;25,3;;
Italy;6,467;8,01;47,3;832;9,83399963;5,45;206;8,67509365;34622,1697;34940000;59449527;24,8;26,7;;
Jamaica;5,85;4,16;30,7;2051;9,18200016;2,28;273;5,96785641;5359,99379;1100000;2961161;27,2;27,6;;
Japan;6,039;10,09;48,4;1668;2,79900002;3,5;347;10,7483883;39808,1686;55840000;125836021;21,9;27,1;;
Jordan;4,152;0,52;23,8;111;19,2520008;3,01;115;7,78079128;4308,15107;6386000;10203140;29,2;26,5;;
Kazakhstan;6,234;5;30,7;250;4,9000001;0,39;6,96;2,8178606;9812,62637;11825000;18754440;26,6;24;;
Kenya;4,543;2,15;20,1;630;5,7420001;0,04;94,5;4,30564117;1794,09118;10444000;53771300;23,1;23,5;;
Kuwait*;6,106;0;36,8;121;3,71399999;2,03;240;5,09953451;33399,0604;4227000;4270563;31,2;26,3;;
Laos;5,14;12,08;24,4;1834;1,25800002;17,21;31,5;2,24630332;2569,09389;3821000;7275556;22;29,2;;
Latvia;6,18;13,19;43,9;667;7,5999999;3,25;30,3;6,19103575;17865,0311;740000;1900449;25,6;29,2;;
Lebanon;2,955;1,53;29,6;661;14,4879999;3,81;667;8,67463875;8058,44434;4160000;6825442;27,7;24,8;;
Lesotho*;3,512;5,08;24;788;24,5979996;0,65;70,6;10,9012518;1192,48432;490900;2142252;26,8;21,1;;
Liberia*;5,122;5,37;19,4;2391;4,09499979;0,04;52,5;9,03880787;710,265998;658200;5057677;23,2;26,5;;
Lithuania;6,446;12,78;45,1;656;7,90299988;4,28;43,4;6,53385353;19186,1813;1400000;2794885;26;21,9;;
Luxembourg*;7,404;12,45;39,7;934;5,22700024;24,79;242;5,28587103;117254,74;369100;630419;26,1;21,9;;
Madagascar*;4,339;1,98;19,6;1513;2,5940001;2,15;47,6;4,19787312;523,945971;2864000;27691019;20,7;26,9;;
Malawi;3,75;4,08;18,1;1181;7,02099991;0,44;203;9,82898998;544,593435;637600;19129955;22,9;27,4;;
Malaysia;5,711;0,93;30,3;2875;4,60900021;0,02;98,5;3,74833083;11380,0821;28490000;32365998;25,4;25,7;;
Mali;4,479;1,31;16,3;282;7,71999979;0,04;16,6;3,73249865;894,804777;2033300;20250834;23,1;22;;
Malta;6,447;8,27;42,6;560;3,49900007;2,52;1380;8,81080437;30672,2922;389500;515332;27,1;24,7;;
Mauritania*;4,153;0;20,1;92;11,4630003;0,01;4,51;3,57909012;1670,20416;927300;4649660;26,3;21,8;;
Mauritius;6,071;4,78;37,5;2041;7,41400003;0,49;626;5,86705875;11208,3438;919000;1265740;26,1;27,7;;
Mexico;6,128;5,05;29,2;758;4,37900019;0,61;66,3;5,37870932;9686,98493;78000000;128932753;28,7;29,4;;
Moldova;5,857;12,85;37,6;450;3,96199989;0,57;123;6,58753443;4230,36304;800000;2620495;27,1;25,2;;
Mongolia;5,761;5,9;28,2;241;7,08199978;0,65;2,11;3,85443377;4156,84697;2740000;3278292;25,7;27,4;;
Montenegro;5,547;12,24;38,8;;18,4869995;5,47;46,7;8,34355545;8845,91422;320000;621306;25,7;28,1;;
Morocco;5,06;0,49;29,5;346;11,467;0,96;82,7;5,33230448;3226,98279;21730000;36910558;26,2;24,2;;
Mozambique;5,048;2,69;17,6;1032;3,98200011;0,08;39,7;8,09185696;503,317925;2756000;31255435;23,3;24,9;;
Myanmar;4,394;2,14;29;2091;2,1730001;0,76;83,3;4,89992142;1250,17369;20550000;54409794;22,5;26,6;;
Namibia;4,459;3,15;21,8;285;21,6779995;0,57;3,09;8,31428051;5588,39286;792000;2540916;25,1;25,6;;
Nepal;5,377;0,62;24,6;1500;5,05200005;0,05;203;4,5284524;1178,52593;13040000;29136808;20,7;21,4;;
Netherlands;7,415;9,67;43,3;778;4,01000023;2,54;508;10,0318222;53044,5324;11090000;17441500;25,5;22,6;;
New Zealand;7,2;10,69;38;1732;4,12400007;3,72;18,3;9,21034622;43306,07;3556000;5084300;27,4;20,8;;
Niger*;5,003;0,52;15,2;151;0,75099999;0,07;19,1;5,28845072;570,723922;577800;24206636;22;27,7;;
Nigeria;4,552;6,19;18,1;1150;9,78800011;0,03;226;3,09069371;2027,77855;31860000;206139587;23,7;27,8;;
North Macedonia;5,199;6,43;39,1;619;16,2029991;4,03;82,6;6,55475044;6108,74011;1000000;2072531;25,4;21,2;;
Norway;7,365;7,14;39,8;1414;4,98500013;8,77;14,8;10,0239458;82267,8093;3400000;5379475;25,7;23;;
Pakistan;4,516;0,31;22,8;494;4,35200024;4,08;287;3,20214486;1482,21307;49200000;220892331;23,4;26,3;;
Panama;6,309;7,77;29,7;2928;12,0880003;1,48;58;7,28005838;15544,9991;2000000;4314768;27,7;22,3;;
Paraguay;5,578;7,01;26,3;1130;7,20599985;0,62;18;6,71837997;5782,78455;3300000;7132530;25,9;26,6;;
Peru;5,559;6,78;31;1738;4,83300018;2,95;25,8;5,19757748;6957,79341;20000000;32971846;26;26,3;;
Philippines;5,904;7,02;25,7;2348;2,4059999;2,47;368;3,95381904;3252,11027;91000000;109581085;23,5;25;;
Poland;6,123;11,89;41,7;600;3,36800003;2,3;124;6,32764196;15468,4822;18610000;37899070;25,9;25,5;;
Portugal;6,016;12,09;46,2;854;6,64699984;5,25;111;9,4126482;23562,5545;6876000;10297081;26,2;24,8;;
Romania;6,477;12,34;43,2;637;5,16900015;2,81;83,6;5,56050777;12398,982;10860000;19257520;25,2;26,7;;
Russia;5,459;10,5;39,6;460;5,01000023;1,46;8,91;5,35520792;11287,3553;13100000;144104080;27,2;28,4;;
Rwanda*;3,268;7,96;20;1212;1,60699999;0,61;525;6,6816082;783,637163;806200;12952209;22,1;28,1;;
Saudi Arabia;6,523;0;31,8;59;7,3579998;1,78;16,2;5,74845695;23337,0175;26280000;34813867;29,6;22,6;;
Senegal;5,046;0,73;18,5;686;3,72300005;0,62;87;4,23825741;1458,06909;3802000;16743930;24,3;30,4;;
Serbia;6,178;8,85;41,6;;11,8070002;3,62;99,9;8,5316782;7252,40186;3400000;6899126;25,7;23,5;;
Sierra Leone;3,574;5,31;19,4;2526;5,33300018;0,01;111;8,28987408;533,991533;833400;7976985;23,9;21,9;;
Slovakia;6,391;11,06;41,2;824;6,73999977;3,27;114;6,70504332;19389,9822;2713000;5458827;26,3;25,6;;
Slovenia;6,63;12,11;44,5;1162;4,42299986;4,67;103;8,27940369;26116,8564;1067000;2102419;26,6;22,5;;
South Africa;5,194;9,45;27,6;495;33,5589981;1,02;48,9;8,85829735;7005,09541;24600000;59308690;29,5;27,4;;
South Korea;5,935;8,45;43,7;1274;3,53200006;2,08;527;7,54388428;33436,9231;25750000;51836239;23,3;27,2;;
Spain;6,476;12,67;44,9;636;14,7329998;4,06;93,7;8,99036121;30364,5799;28450000;47363419;26,3;22;;
Sri Lanka;4,362;2,87;34;1712;5,39499998;0,28;341;3,91227865;4059,20823;7968000;21919000;23,1;26,9;;
