Country ;happiness;alcohol;med_age;precipitation;unemployment;coffee;pop_density;health_spend;gdp;facebook;pop;bmi_women;bmi_men;gdp1000;facebook_share
Hungary;6,09;11,07;43,30;589,00;4,12;1,39;107,00;6,55;16427,37;6084000,00;9750149,00;26,00;23,70;16,43;0,623990
Iceland;7,56;9,21;37,50;1940,00;5,40;8,63;3,40;8,44;74469,80;250000,00;366463,00;26,00;25,10;74,47;0,682197
India;3,78;5,61;28,40;1083,00;5,98;0,00;464,00;2,95;1996,92;416600000,00;1380004385,00;21,30;25,10;2,00;0,301883
Indonesia;5,24;0,22;29,70;2702,00;4,41;0,17;151,00;2,87;3893,86;176500000,00;273523621,00;23,00;27,10;3,89;0,645282
Iran;4,89;1,01;32,00;228,00;11,46;0,17;51,60;8,46;3598,48;40000000,00;83992953,00;27,20;27,20;3,60;0,476230
Iraq;4,94;0,37;21,00;216,00;14,19;0,21;92,60;4,24;5915,85;25520000,00;40222503,00;28,40;21,00;5,92;0,634471
Ireland;7,04;12,75;38,20;1118,00;6,63;1,92;71,70;6,86;79107,61;3210000,00;4985674,00;26,60;21,90;79,11;0,643845
Israel;7,36;4,38;30,50;435,00;5,05;4,51;400,00;7,53;42063,45;6200000,00;9215100,00;27,30;25,30;42,06;0,672809
Italy;6,47;8,01;47,30;832,00;9,83;5,45;206,00;8,68;34622,17;34940000,00;59449527,00;24,80;26,70;34,62;0,587725
Jamaica;5,85;4,16;30,70;2051,00;9,18;2,28;273,00;5,97;5359,99;1100000,00;2961161,00;27,20;27,60;5,36;0,371476
Japan;6,04;10,09;48,40;1668,00;2,80;3,50;347,00;10,75;39808,17;55840000,00;125836021,00;21,90;27,10;39,81;0,443752
Jordan;4,15;0,52;23,80;111,00;19,25;3,01;115,00;7,78;4308,15;6386000,00;10203140,00;29,20;26,50;4,31;0,625886
Kazakhstan;6,23;5,00;30,70;250,00;4,90;0,39;6,96;2,82;9812,63;11825000,00;18754440,00;26,60;24,00;9,81;0,630517
Kenya;4,54;2,15;20,10;630,00;5,74;0,04;94,50;4,31;1794,09;10444000,00;53771300,00;23,10;23,50;1,79;0,194230
Kuwait*;6,11;0,00;36,80;121,00;3,71;2,03;240,00;5,10;33399,06;4227000,00;4270563,00;31,20;26,30;33,40;0,989799
Laos;5,14;12,08;24,40;1834,00;1,26;17,21;31,50;2,25;2569,09;3821000,00;7275556,00;22,00;29,20;2,57;0,525183
Latvia;6,18;13,19;43,90;667,00;7,60;3,25;30,30;6,19;17865,03;740000,00;1900449,00;25,60;29,20;17,87;0,389382
Lebanon;2,96;1,53;29,60;661,00;14,49;3,81;667,00;8,67;8058,44;4160000,00;6825442,00;27,70;24,80;8,06;0,609484
Lesotho*;3,51;5,08;24,00;788,00;24,60;0,65;70,60;10,90;1192,48;490900,00;2142252,00;26,80;21,10;1,19;0,229151
Liberia*;5,12;5,37;19,40;2391,00;4,09;0,04;52,50;9,04;710,27;658200,00;5057677,00;23,20;26,50;0,71;0,130139
Lithuania;6,45;12,78;45,10;656,00;7,90;4,28;43,40;6,53;19186,18;1400000,00;2794885,00;26,00;21,90;19,19;0,500915
Luxembourg*;7,40;12,45;39,70;934,00;5,23;24,79;242,00;5,29;117254,74;369100,00;630419,00;26,10;21,90;117,25;0,585484
Madagascar*;4,34;1,98;19,60;1513,00;2,59;2,15;47,60;4,20;523,95;2864000,00;27691019,00;20,70;26,90;0,52;0,103427
Malawi;3,75;4,08;18,10;1181,00;7,02;0,44;203,00;9,83;544,59;637600,00;19129955,00;22,90;27,40;0,54;0,033330
Malaysia;5,71;0,93;30,30;2875,00;4,61;0,02;98,50;3,75;11380,08;28490000,00;32365998,00;25,40;25,70;11,38;0,880245
Mali;4,48;1,31;16,30;282,00;7,72;0,04;16,60;3,73;894,80;2033300,00;20250834,00;23,10;22,00;0,89;0,100406
Malta;6,45;8,27;42,60;560,00;3,50;2,52;1380,00;8,81;30672,29;389500,00;515332,00;27,10;24,70;30,67;0,755823
Mauritania*;4,15;0,00;20,10;92,00;11,46;0,01;4,51;3,58;1670,20;927300,00;4649660,00;26,30;21,80;1,67;0,199434
Mauritius;6,07;4,78;37,50;2041,00;7,41;0,49;626,00;5,87;11208,34;919000,00;1265740,00;26,10;27,70;11,21;0,726057
Mexico;6,13;5,05;29,20;758,00;4,38;0,61;66,30;5,38;9686,98;78000000,00;128932753,00;28,70;29,40;9,69;0,604967
Moldova;5,86;12,85;37,60;450,00;3,96;0,57;123,00;6,59;4230,36;800000,00;2620495,00;27,10;25,20;4,23;0,305286
Mongolia;5,76;5,90;28,20;241,00;7,08;0,65;2,11;3,85;4156,85;2740000,00;3278292,00;25,70;27,40;4,16;0,835801
Montenegro;5,55;12,24;38,80;;18,49;5,47;46,70;8,34;8845,91;320000,00;621306,00;25,70;28,10;8,85;0,515044
Morocco;5,06;0,49;29,50;346,00;11,47;0,96;82,70;5,33;3226,98;21730000,00;36910558,00;26,20;24,20;3,23;0,588720
Mozambique;5,05;2,69;17,60;1032,00;3,98;0,08;39,70;8,09;503,32;2756000,00;31255435,00;23,30;24,90;0,50;0,088177
Myanmar;4,39;2,14;29,00;2091,00;2,17;0,76;83,30;4,90;1250,17;20550000,00;54409794,00;22,50;26,60;1,25;0,377689
Namibia;4,46;3,15;21,80;285,00;21,68;0,57;3,09;8,31;5588,39;792000,00;2540916,00;25,10;25,60;5,59;0,311699
Nepal;5,38;0,62;24,60;1500,00;5,05;0,05;203,00;4,53;1178,53;13040000,00;29136808,00;20,70;21,40;1,18;0,447544
Netherlands;7,42;9,67;43,30;778,00;4,01;2,54;508,00;10,03;53044,53;11090000,00;17441500,00;25,50;22,60;53,04;0,635840
New Zealand;7,20;10,69;38,00;1732,00;4,12;3,72;18,30;9,21;43306,07;3556000,00;5084300,00;27,40;20,80;43,31;0,699408
Niger*;5,00;0,52;15,20;151,00;0,75;0,07;19,10;5,29;570,72;577800,00;24206636,00;22,00;27,70;0,57;0,023869
Nigeria;4,55;6,19;18,10;1150,00;9,79;0,03;226,00;3,09;2027,78;31860000,00;206139587,00;23,70;27,80;2,03;0,154555
North Macedonia;5,20;6,43;39,10;619,00;16,20;4,03;82,60;6,55;6108,74;1000000,00;2072531,00;25,40;21,20;6,11;0,482502
Norway;7,37;7,14;39,80;1414,00;4,99;8,77;14,80;10,02;82267,81;3400000,00;5379475,00;25,70;23,00;82,27;0,632032
Pakistan;4,52;0,31;22,80;494,00;4,35;4,08;287,00;3,20;1482,21;49200000,00;220892331,00;23,40;26,30;1,48;0,222733
Panama;6,31;7,77;29,70;2928,00;12,09;1,48;58,00;7,28;15545,00;2000000,00;4314768,00;27,70;22,30;15,54;0,463524
Paraguay;5,58;7,01;26,30;1130,00;7,21;0,62;18,00;6,72;5782,78;3300000,00;7132530,00;25,90;26,60;5,78;0,462669
Peru;5,56;6,78;31,00;1738,00;4,83;2,95;25,80;5,20;6957,79;20000000,00;32971846,00;26,00;26,30;6,96;0,606578
Philippines;5,90;7,02;25,70;2348,00;2,41;2,47;368,00;3,95;3252,11;91000000,00;109581085,00;23,50;25,00;3,25;0,830435
Poland;6,12;11,89;41,70;600,00;3,37;2,30;124,00;6,33;15468,48;18610000,00;37899070,00;25,90;25,50;15,47;0,491041
Portugal;6,02;12,09;46,20;854,00;6,65;5,25;111,00;9,41;23562,55;6876000,00;10297081,00;26,20;24,80;23,56;0,667762
Romania;6,48;12,34;43,20;637,00;5,17;2,81;83,60;5,56;12398,98;10860000,00;19257520,00;25,20;26,70;12,40;0,563936
Russia;5,46;10,50;39,60;460,00;5,01;1,46;8,91;5,36;11287,36;13100000,00;144104080,00;27,20;28,40;11,29;0,090907
Rwanda*;3,27;7,96;20,00;1212,00;1,61;0,61;525,00;6,68;783,64;806200,00;12952209,00;22,10;28,10;0,78;0,062244
Saudi Arabia;6,52;0,00;31,80;59,00;7,36;1,78;16,20;5,75;23337,02;26280000,00;34813867,00;29,60;22,60;23,34;0,754872
Senegal;5,05;0,73;18,50;686,00;3,72;0,62;87,00;4,24;1458,07;3802000,00;16743930,00;24,30;30,40;1,46;0,227067
Serbia;6,18;8,85;41,60;;11,81;3,62;99,90;8,53;7252,40;3400000,00;6899126,00;25,70;23,50;7,25;0,492816
Sierra Leone;3,57;5,31;19,40;2526,00;5,33;0,01;111,00;8,29;533,99;833400,00;7976985,00;23,90;21,90;0,53;0,104476
Slovakia;6,39;11,06;41,20;824,00;6,74;3,27;114,00;6,71;19389,98;2713000,00;5458827,00;26,30;25,60;19,39;0,496993
Slovenia;6,63;12,11;44,50;1162,00;4,42;4,67;103,00;8,28;26116,86;1067000,00;2102419,00;26,60;22,50;26,12;0,507511
South Africa;5,19;9,45;27,60;495,00;33,56;1,02;48,90;8,86;7005,10;24600000,00;59308690,00;29,50;27,40;7,01;0,414779
South Korea;5,94;8,45;43,70;1274,00;3,53;2,08;527,00;7,54;33436,92;25750000,00;51836239,00;23,30;27,20;33,44;0,496757
Spain;6,48;12,67;44,90;636,00;14,73;4,06;93,70;8,99;30364,58;28450000,00;47363419,00;26,30;22,00;30,36;0,600675
Sri Lanka;4,36;2,87;34,00;1712,00;5,39;0,28;341,00;3,91;4059,21;7968000,00;21919000,00;23,10;26,90;4,06;0,363520
Sweden;7,38;9,04;41,10;624,00;8,66;9,90;24,60;10,94;54589,06;8581261,00;10353442,00;25,10;25,40;54,59;0,828832
Switzerland;7,51;11,23;43,10;1537,00;5,32;6,65;219,00;11,38;86388,41;3700000,00;8636561,00;24,10;22,40;86,39;0,428411
Tajikistan;5,38;0,88;22,40;691,00;7,75;0,17;68,10;7,24;853,22;1136000,00;9537642,00;23,90;26,20;0,85;0,119107
Thailand;5,89;8,50;40,10;1622,00;1,42;0,36;137,00;3,82;7296,88;58500000,00;69799978,00;24,40;24,40;7,30;0,838109
Togo;4,11;2,66;19,40;1168,00;4,00;0,54;152,00;6,09;901,52;860500,00;8278737,00;22,70;22,50;0,90;0,103941
Tunisia;4,52;2,04;32,80;207,00;16,82;2,62;76,10;6,82;3680,89;8170000,00;11818618,00;27,90;21,90;3,68;0,691282
Turkey;4,74;1,77;31,50;593,00;13,39;0,72;110,00;4,12;9454,35;44000000,00;84339067,00;28,30;31,00;9,45;0,521704
Turkmenistan*;5,47;3,09;26,90;161,00;5,08;0,60;12,80;6,61;6967,38;224800,00;6031187,00;24,70;26,40;6,97;0,037273
Uganda;4,60;12,48;16,70;1180,00;2,94;0,06;229,00;4,03;770,60;3328000,00;45741000,00;22,50;25,20;0,77;0,072757
Ukraine;5,08;8,34;41,20;565,00;8,88;0,99;75,50;7,52;3096,56;9500000,00;44134693,00;26,20;26,70;3,10;0,215250
United Arab Emirates;6,58;3,85;32,60;78,00;3,36;1,91;118,00;4,15;43839,32;10316000,00;9890400,00;29,60;25,30;43,84;1,043032
United Kingdom;6,94;11,45;40,50;1220,00;4,53;2,82;281,00;9,90;43646,95;44000000,00;67215293,00;26,90;22,40;43,65;0,654613
United States;6,98;9,97;38,30;715,00;5,46;4,39;36,20;16,69;63064,42;240000000,00;331501080,00;28,30;25,40;63,06;0,723980
Uruguay;6,47;6,92;35,80;1300,00;10,45;0,69;19,80;9,01;18703,86;2400000,00;3473727,00;26,60;28,10;18,70;0,690901
Uzbekistan;6,06;2,61;27,80;206,00;7,16;0,20;78,70;5,30;1597,07;4702000,00;34232050,00;25,40;27,40;1,60;0,137357
Vietnam;5,49;7,93;32,50;1821,00;2,17;2,19;314,00;5,03;2566,45;75940000,00;97338583,00;21,10;25,30;2,57;0,780163
Zambia;3,76;4,46;17,60;1020,00;13,03;0,17;24,70;5,03;1516,37;2543000,00;18383956,00;23,10;27,40;1,52;0,138327
Zimbabwe;3,00;4,52;18,70;657,00;5,17;0,13;38,40;8,68;1254,64;1303000,00;14862927,00;24,60;20,90;1,25;0,087668
